               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.024978,           0.0063841,          0.00010679,             0.97638,              0.9703,             0.98946,             0.73301,            0.021659,           0.0040227,          8.5149e-05,            0.004555,            0.004555,            0.004555
                  57,            0.024876,           0.0063328,          0.00010251,             0.97816,             0.97515,             0.98903,              0.7344,             0.02163,           0.0040282,          7.8649e-05,            0.004456,            0.004456,            0.004456
                  58,            0.024913,           0.0063162,          9.7865e-05,              0.9768,             0.97045,             0.99042,             0.73451,            0.021535,           0.0039889,          8.0289e-05,            0.004357,            0.004357,            0.004357
                  59,            0.024547,           0.0062722,          0.00010447,             0.97832,              0.9699,             0.98906,             0.73364,            0.021549,           0.0039773,          7.9045e-05,            0.004258,            0.004258,            0.004258
                  60,            0.024494,           0.0062753,           9.766e-05,             0.97654,             0.97205,             0.98856,             0.73605,            0.021517,           0.0039598,           7.644e-05,            0.004159,            0.004159,            0.004159
                  61,            0.024189,           0.0062367,          9.2993e-05,             0.97658,             0.97453,             0.98928,             0.73737,            0.021448,           0.0039685,          7.6544e-05,             0.00406,             0.00406,             0.00406
                  62,            0.024416,           0.0062833,          0.00011607,             0.97923,             0.97067,              0.9892,             0.73766,            0.021423,           0.0039826,          7.4895e-05,            0.003961,            0.003961,            0.003961
                  63,            0.024254,           0.0061886,          0.00010699,             0.98104,             0.96958,             0.99022,             0.73765,              0.0214,           0.0039813,          7.3211e-05,            0.003862,            0.003862,            0.003862
                  64,            0.023966,           0.0061223,          0.00010073,             0.98032,             0.97441,             0.98995,             0.73723,            0.021353,           0.0039578,          7.3201e-05,            0.003763,            0.003763,            0.003763
                  65,            0.023998,           0.0061924,          9.5882e-05,             0.97972,             0.97297,             0.98987,             0.73821,            0.021281,           0.0039307,          7.3508e-05,            0.003664,            0.003664,            0.003664
                  66,            0.023778,           0.0060309,          8.8303e-05,             0.97606,             0.97284,             0.98892,             0.73915,            0.021238,           0.0039305,           7.371e-05,            0.003565,            0.003565,            0.003565
                  67,             0.02382,           0.0060281,          9.7818e-05,             0.98022,             0.97034,             0.98982,             0.73827,            0.021235,           0.0039445,          7.3859e-05,            0.003466,            0.003466,            0.003466
                  68,             0.02346,           0.0060379,          8.7511e-05,             0.98022,             0.97111,             0.98892,             0.74071,            0.021152,           0.0039382,          7.2204e-05,            0.003367,            0.003367,            0.003367
                  69,            0.023649,           0.0060696,          8.5454e-05,             0.97906,             0.97119,             0.98848,             0.74278,            0.021105,           0.0039337,           6.996e-05,            0.003268,            0.003268,            0.003268
                  70,            0.023561,           0.0059599,          8.1263e-05,             0.98098,             0.96953,             0.98829,             0.74382,            0.021068,           0.0039187,            6.97e-05,            0.003169,            0.003169,            0.003169
                  71,            0.023246,           0.0060009,          8.3849e-05,             0.97959,             0.97142,             0.98862,             0.74309,            0.021028,           0.0039137,          6.8227e-05,             0.00307,             0.00307,             0.00307
                  72,            0.023146,           0.0059563,          8.3594e-05,             0.97853,              0.9764,             0.98909,             0.74554,            0.020997,           0.0039127,          6.6619e-05,            0.002971,            0.002971,            0.002971
                  73,            0.022926,           0.0059583,          6.9203e-05,             0.97991,             0.97592,             0.98979,             0.74619,            0.020983,           0.0038997,           6.581e-05,            0.002872,            0.002872,            0.002872
                  74,            0.022717,           0.0058926,          7.6308e-05,             0.98027,             0.97478,             0.98894,             0.74584,             0.02093,           0.0038876,          6.4445e-05,            0.002773,            0.002773,            0.002773
                  75,            0.022656,            0.005794,          7.3115e-05,             0.98368,             0.97153,             0.98865,             0.74685,              0.0209,           0.0038767,          6.4657e-05,            0.002674,            0.002674,            0.002674
                  76,            0.022903,           0.0059118,          8.0754e-05,             0.98447,             0.96968,             0.99028,             0.74713,            0.020872,           0.0038738,          6.4297e-05,            0.002575,            0.002575,            0.002575
                  77,            0.022461,           0.0057814,          7.2299e-05,              0.9841,             0.97092,             0.98898,             0.74709,            0.020836,           0.0038735,          6.3675e-05,            0.002476,            0.002476,            0.002476
                  78,            0.022383,           0.0058421,          6.0063e-05,             0.98279,              0.9719,             0.98934,             0.74874,            0.020802,             0.00387,          6.3443e-05,            0.002377,            0.002377,            0.002377
                  79,            0.022188,           0.0057785,          6.4459e-05,               0.983,             0.97198,             0.98981,             0.74842,            0.020769,           0.0038668,          6.2897e-05,            0.002278,            0.002278,            0.002278
                  80,            0.022183,           0.0057808,          6.2445e-05,             0.98468,             0.97209,             0.98986,             0.74961,            0.020747,           0.0038593,           6.168e-05,            0.002179,            0.002179,            0.002179
                  81,             0.02211,           0.0057363,          6.6448e-05,             0.98365,             0.97207,             0.98987,             0.75092,            0.020711,           0.0038516,          6.1091e-05,             0.00208,             0.00208,             0.00208
                  82,            0.022147,           0.0056661,          6.5186e-05,             0.98298,             0.97383,             0.98913,             0.75085,             0.02067,            0.003845,          6.0896e-05,            0.001981,            0.001981,            0.001981
                  83,            0.021773,           0.0056201,          6.5875e-05,             0.98152,             0.97422,             0.98947,             0.75216,            0.020641,           0.0038374,          6.0645e-05,            0.001882,            0.001882,            0.001882
                  84,            0.021835,           0.0056428,          6.3577e-05,             0.97883,              0.9769,             0.98949,             0.75276,            0.020634,           0.0038353,          6.0306e-05,            0.001783,            0.001783,            0.001783
                  85,            0.021503,           0.0055855,          6.5009e-05,             0.97894,             0.97597,             0.98915,             0.75288,            0.020637,           0.0038334,          6.0192e-05,            0.001684,            0.001684,            0.001684
                  86,            0.021615,           0.0056785,          6.4148e-05,             0.98097,               0.974,             0.98923,             0.75347,            0.020621,           0.0038301,          6.0181e-05,            0.001585,            0.001585,            0.001585
                  87,            0.021282,           0.0055054,          5.3496e-05,             0.98075,             0.97451,             0.98899,             0.75395,            0.020604,           0.0038255,          5.9881e-05,            0.001486,            0.001486,            0.001486
                  88,            0.021244,           0.0055881,           4.894e-05,             0.98036,             0.97524,             0.98906,             0.75451,            0.020594,           0.0038218,          5.9201e-05,            0.001387,            0.001387,            0.001387
                  89,            0.021198,           0.0055254,           5.333e-05,             0.98064,             0.97548,             0.98942,             0.75505,            0.020597,           0.0038224,          5.8799e-05,            0.001288,            0.001288,            0.001288
                  90,            0.020895,           0.0055234,          5.6568e-05,             0.98122,             0.97464,              0.9892,             0.75511,            0.020591,           0.0038212,           5.856e-05,            0.001189,            0.001189,            0.001189
                  91,            0.021026,           0.0055033,          5.0766e-05,             0.98232,             0.97314,             0.98924,             0.75468,            0.020588,           0.0038202,          5.8214e-05,             0.00109,             0.00109,             0.00109
                  92,            0.020818,           0.0054753,          4.4751e-05,             0.98182,             0.97216,             0.98947,             0.75534,            0.020575,           0.0038187,          5.8077e-05,            0.000991,            0.000991,            0.000991
                  93,            0.020659,           0.0054812,          5.3514e-05,             0.98189,             0.97258,             0.98947,             0.75624,            0.020557,           0.0038184,          5.8012e-05,            0.000892,            0.000892,            0.000892
                  94,            0.020685,           0.0054685,          4.4117e-05,             0.98102,             0.97557,                0.99,             0.75685,            0.020548,           0.0038187,          5.7789e-05,            0.000793,            0.000793,            0.000793
                  95,            0.020424,           0.0053955,          4.5164e-05,             0.98323,             0.97138,              0.9896,             0.75672,            0.020537,           0.0038176,          5.7523e-05,            0.000694,            0.000694,            0.000694
                  96,            0.020347,           0.0053597,          4.5423e-05,             0.98266,             0.97193,             0.99004,             0.75734,            0.020531,            0.003819,          5.7459e-05,            0.000595,            0.000595,            0.000595
                  97,            0.020012,           0.0053197,          4.3763e-05,             0.98298,             0.97179,             0.99034,             0.75772,            0.020518,           0.0038179,          5.7317e-05,            0.000496,            0.000496,            0.000496
                  98,            0.020221,           0.0052705,          4.4737e-05,             0.98374,             0.97096,             0.99029,             0.75771,            0.020509,           0.0038168,          5.7172e-05,            0.000397,            0.000397,            0.000397
                  99,            0.019801,           0.0052523,          4.1487e-05,             0.98461,             0.97081,             0.99037,             0.75837,            0.020502,           0.0038166,           5.702e-05,            0.000298,            0.000298,            0.000298
